,name,salary_from,salary_to,days,company,city
1020,повар-универсал,37000,40000,22,"Кафе Винченцо, г. Сочи",Сочи
1021,повар ресторана,30000,40000,22,Модная компания,Краснодар
1022,повар,30000,,22,Южная бухта,
1023,официант,30000,50000,22,Fanconi Beach,
1024,кассир,33000,35000,22,"Кафе Винченцо, г. Сочи",Сочи
1025,бармен,20000,40000,23,Резиденция «Крымский Бриз»,Ялта
1026,швейцар,18900,23600,23,Резиденция «Крымский Бриз»,Ялта
1027,администратор,18000,,23,Санаторий «Golden»,Алушта
1028,аниматор-универсал,27000,29700,23,Alean Family Resort Collection,Сочи
1029,повар,50000,60000,23,Крайм,
1030,официант,24000,,23,Восток-Лидер,
1031,повар-универсал,30000,,23,Восток-Лидер,
1032,официант,15000,,23,Санаторий Сакрополь,
1033,аниматор,30000,30000,23,Alean Family Resort Collection,Анапа
1034,обвальщик мяса,25000,,23,Яблоко,
1035,аниматор-ведущий,25000,40000,23,Пеньков Дмитрий Петрович,
1036,шеф-повар,50000,,23,Компания Бэрримор,Краснодар
1037,менеджер,15000,,23,Экспофуд,Краснодар
1038,повар,18000,,23,Беляев А.П.,
1039,официант,20000,,23,ХЭППИ СИЗОНС ХОТЕЛС ГРУП,
1040,повар,45000,,23,"Меркурий, ГК",Адлер
1041,повар-сушист,30000,,24,Суши Мастер,
1042,начинающий специалист,70000,,24,АСКА недвижимость,Сочи
1043,администратор,35000,,24,Онейро,
1044,управляющий,40000,40000,24,КОКАБАР,
1045,управляющий,70000,80000,24,Этика,
1046,медицинская сестра,14000,,24,Санаторий «Golden»,Евпатория
1047,медицинская сестра,14000,,24,Санаторий «Golden»,Саки
1048,медицинская сестра,14000,,24,Санаторий «Golden»,Севастополь
1049,медицинская сестра,14000,,24,Санаторий «Golden»,Симферополь
1050,медицинская сестра,14000,,24,Санаторий «Golden»,Ялта
1051,шеф-повар,70000,80000,24,Этика,
1052,повар,25000,60000,24,Куликов Михаил Валерьевич,Краснодар
1053,хостес,20000,25000,24,КОКАБАР,
1054,бренд,100000,120000,24,Этика,
1055,флорист хозяйственной,28000,,24,Домейн,Сочи
1056,официант,30000,,24,ЦЕНТРИНВЕСТ,Ялта
1057,пекарь-кондитер,20000,40000,24,Ненада Роман Николаевич,
1058,повар холодного,20000,40000,24,Ненада Роман Николаевич,
1059,повар горячего,20000,40000,24,Ненада Роман Николаевич,
1060,повар,25000,,24,Рыбамоя,Севастополь
1061,бармен-администратор,25000,,24,Рыбамоя,Севастополь
1062,бармен,20000,25000,24,Oz One,
1063,шеф-повар,35000,50000,24,Санаторий «Golden»,Алушта
1064,старшая горничная,,25000,24,Alean Family Resort Collection,Сочи
1065,пекарь-кассир,20000,,24,Кухня Крыма,
1066,повар-универсал,22500,22500,24,JCat.ru,
1067,повар универсал,37800,42000,24,Саркисян Артак,
1068,повар,25000,,24,OlimpFood,Краснодар
1069,пекарь-тестомес гипермаркета,23700,28500,24,"МАГНИТ, Розничная сеть",
1070,бригадир собственного,33800,45000,24,"МАГНИТ, Розничная сеть",
1071,су-шеф,50000,,25,ГК Ялта-Интурист,
1072,горничная,21000,,25,Парк отель Порто Маре,
1073,горничная,21000,,25,Парк отель Порто Маре,
1074,метрдотель,30000,,25,ГК Ялта-Интурист,
1075,повар,22000,24000,25,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
1076,официант,22000,24000,25,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
1077,хостес,22000,,25,Бархат,Краснодар
1078,администратор,30000,,25,ГК Ялта-Интурист,
1079,повар-универсал,25000,30000,25,Пиратская пристань,Краснодар
1080,аниматор подростковой,30000,,25,Alean Family Resort Collection,
1081,хореограф,30000,35000,25,Alean Family Resort Collection,
1082,смены,35000,35000,25,Сочи-Парк,Сочи
1083,экскурсионный гид,25000,,25,Национальный туроператор Алеан,
1084,"отельный гид,",35000,,25,Национальный туроператор Алеан,
1085,администратор,30000,30000,25,Oz One,
1086,управляющий,60000,100000,25,"Ателика, УК",
1087,повар горячего,21000,,25,Яблоко,
1088,официант,25000,,25,Сеть ресторанов РИС,
