,name,salary_from,salary_to,days,company,city
80,повар холодного,25000,,2,PIZZA BAR,Симферополь
81,повар горячего,25000,,2,PIZZA BAR,Симферополь
82,менеджер,25000,40000,2,"Undersun, группа компаний",
83,пиццмейкер,25000,,2,PIZZA BAR,Симферополь
84,официант,15000,30000,2,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
85,менеджер,15000,50000,2,1001 тур,
86,повар,36000,44000,2,РЕОЛ,
87,бармен,,30000,2,РЕОЛ,
88,администратор,30000,30000,2,РЕОЛ,
89,официант,30000,50000,2,РЕОЛ,Адлер
90,администратор,30000,30000,2,РЕОЛ,Сочи
91,повар,28000,35000,2,МегаСтафГрупп,Сочи
92,повар,33500,,2,Radisson Blu Resort & Congress Centre,Сочи
93,официант,30000,50000,2,РЕОЛ,Сочи
94,повар-универсал,30000,44000,2,РЕОЛ,Сочи
95,администратор,90000,150000,2,ИСМИРА,Сочи
96,менеджер,,48000,2,Radisson Blu Resort & Congress Centre,Сочи
97,администратор,,30000,2,Хостел Морской,Сочи
98,повар универсал,38000,45000,2,Банкетный зал Рафаэль,
99,шеф-повар,80000,120000,2,DelMar Family Project,Сочи
100,повар,25000,33000,2,РЕСТА НОВА,
101,повар,34000,34000,2,НАДИ,Краснодар
102,бармен,25000,30000,2,РЕСТА НОВА,
103,менеджер,40000,45000,2,РЕСТА НОВА,
104,консьерж,30000,30000,2,Apart Polyana,Красная Поляна
105,менеджер,50000,90000,2,ресторан Станъ,Краснодар
106,менеджер,25000,27000,2,SUBWAY,Краснодар
107,администратор,15000,30000,2,Ахиллеон Парк Бутик Отель 4*,Геленджик
108,повар-универсал,35000,40000,2,Куцый Василий Андреевич,
109,повар-универсал,35000,40000,2,Куцый Василий Андреевич,
110,повар-универсал,35000,40000,2,Куцый Василий Андреевич,
111,cтюардесса/стюард,120000,180000,2,ГК Морской персонал,Краснодар
112,пиццмейкер,,25000,2,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
113,специалист,20000,40000,2,Проф Паблисити,Новороссийск
114,бармен,25000,,2,АТЭК,Новороссийск
115,администратор,17000,20000,2,Карапетьян А.А.,Краснодар
116,менеджер,30000,40000,2,РЕСТАР,
117,горничная,18000,,2,Новый Свет,
118,уборщик,22000,,2,МегаСтафГрупп,Сочи
119,горничная,25000,25000,2,Аэропорт Девелопмент,Геленджик
120,помощник повара,13000,18000,2,"Лента, федеральная розничная сеть",Краснодар
121,руководитель отдела,50000,60000,2,РЕОЛ,
122,официант-бармен,28000,35000,2,МегаСтафГрупп,Сочи
123,официант,20000,,2,Сеть ресторанов быстрого обслуживания [Ёха],Краснодар
124,бармен-кассир,25000,,2,Сеть ресторанов быстрого обслуживания [Ёха],Краснодар
125,менеджер,25000,,2,Сеть ресторанов быстрого обслуживания [Ёха],Краснодар
126,продавец-кассир,25000,,2,Сеть ресторанов быстрого обслуживания [Ёха],Краснодар
127,администратор,20000,,2,СКО Адлеркурорт,Сочи
128,администратор,27000,,2,Palmira Palace,
129,хаусмен,25000,25000,2,Мостовик Девелопмент,Сочи
130,официант,25000,,2,Аэропорт Девелопмент,Анапа
131,администратор,25000,,2,СКО Адлеркурорт,Сочи
132,матрос-спасатель,15000,,2,СКО Адлеркурорт,Сочи
133,бармен,30000,,2,Инал Бэй,Краснодар
134,администратор,35000,,2,Монолит,
135,мойщик посуды,20000,,2,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
136,повар-универсал,23000,,2,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
137,бармен,30000,,2,Аукцион,Красная Поляна
138,матрос-спасатель,25000,,2,Юниверсити Плаза,Сочи
139,аниматор,30000,30000,2,Вилла Феллини,Судак
140,администратор,35000,35000,2,Вилла Феллини,Судак
141,аниматор,30000,,2,"JAZZ, туристическая компания",
142,пекарь,30000,,2,Перекресток,Сочи
143,агент,33333,33333,2,"Красная Поляна, НАО",Сочи
144,официант,25000,25000,2,Клиника Екатерининская,Краснодар
145,официант,15000,,2,Гостиница Севастополь и СПА,Севастополь
146,шеф-повар,50000,,2,Сафари-парк,Краснодар
147,менеджер,50000,70000,2,Южный Берег,Сочи
148,су-шеф,30000,40000,2,"Фанагория, АПФ",
149,отельный гид,40000,,2,Библио Глобус Крым,Симферополь
150,повар,25000,30000,2,Гостиница Севастополь и СПА,Севастополь
151,повар универсал,30000,,2,Гостиница Севастополь и СПА,Севастополь
152,повар горячего,50000,80000,2,Жемчужина,Темрюк
153,менеджер,35000,50000,2,ГЛИНФОРТ,
154,повар горячего,23000,25000,2,Перекресток,Краснодар
155,менеджер,,50000,2,Skyeng,
156,manager-teacher,,50000,2,Skyeng,
157,demo-teacher,,50000,2,Skyeng,
158,мясник,23000,26000,2,Перекресток,Краснодар
159,повар,28000,32000,2,Перекресток,Краснодар
160,повар-универсал,30000,,2,Суп Групп,Краснодар
161,повар-универсал,24000,25000,2,Перекресток,Краснодар
162,бармен,20000,30000,2,Alean Family Resort Collection,Геленджик
163,повар,23000,28000,2,Санаторий Сосновая роща,
164,руководитель проекта/управляющий,50000,80000,2,МФЮЦ СОЧИ,Сочи
165,заместитель начальника,46800,57500,2,"Лента, федеральная розничная сеть",
166,менеджер,20000,,2,Приарт-Юг,Ялта
167,повар-универсал,45000,,2,Hotel Kuchugury,Керчь
168,официант-бармен,30000,,2,Hotel Kuchugury,Ялта
169,повар,22000,27000,2,Ресторан М-Клуб,Кропоткин
170,управляющий,35000,,2,ХЭППИ СИЗОНС ХОТЕЛС ГРУП,
171,управляющий,35000,,2,ХЭППИ СИЗОНС ХОТЕЛС ГРУП,
172,администратор,16000,,2,Отель КоржовЪ,Краснодар
173,администратор,26000,28000,3,"Красная Поляна, НАО",Сочи
174,повар,20000,30000,3,Мини отель Адмирал,
175,повар,20000,30000,3,Мини отель Адмирал,
176,смены,39900,43800,3,"МАГНИТ, Розничная сеть",
177,смены,35200,38600,3,"МАГНИТ, Розничная сеть",
178,повар кулинарии,25700,26200,3,"МАГНИТ, Розничная сеть",
179,повар-универсал,27900,33200,3,"МАГНИТ, Розничная сеть",
180,заведующий пекарней,35600,68800,3,"МАГНИТ, Розничная сеть",
181,заведующий кулинарным,36500,70500,3,"МАГНИТ, Розничная сеть",
182,шеф-повар,60000,100000,3,Кафе NOTE BENE Анапа,
183,разносчик багажа,23000,23000,3,УК Сезоны,Сочи
184,менеджер,30000,,3,"Розовый слон, туристическая компания",Краснодар
185,официант,26000,28000,3,Sea Galaxy Hotel Congress & Spa,Сочи
186,портье,35000,,3,Гранд отель Жемчужина,Сочи
187,повар-универсал,30000,35000,3,Гранд отель Жемчужина,Сочи
188,официант,27000,,3,Гранд отель Жемчужина,Сочи
189,повар,25000,40000,3,ГК Файт,Новороссийск
190,менеджер,60000,300000,3,Олимп,
191,повар горячего,19000,,3,Оскар,Краснодар
192,повар холодного,19000,,3,Оскар,Краснодар
193,су-шеф/старший повар,40000,45000,3,«Донатс & Кофе» (ИП Степанов Е.И.),Краснодар
194,специалист,30000,,3,Тревел Менеджмент Консалтинг,Краснодар
195,деми шеф-де-парти,30000,30000,3,"Красная Поляна, НАО",Сочи
196,повар горячего,36000,44000,3,РЕОЛ,Адлер
197,официант,20000,20000,3,Ибис Краснодар,Краснодар
198,повар холодного,27000,35000,3,РЕОЛ,Адлер
199,уборщик производственных,10500,,3,Кредо,Армавир
200,официант,25000,,3,"ООО «Свод Интернешнл» (ГТЦ ПАО «Газпром», ГК «Альпика», ГК «Гранд Отель Поляна», ГК «Поляна 1389 Отель и СПА», ОКЦ «Галактика», ЛБК «Лаура»)",Сочи
201,повар-пиццер,27000,35000,3,РЕОЛ,
202,аниматор,23700,26000,3,Резиденция «Крымский Бриз»,Ялта
203,ведущий вечеринок,45000,,3,Желтая рыба,Феодосия
204,администратор-кассир,30000,,3,Куцый Василий Андреевич,
205,менеджер,20000,,3,Проф Паблисити,Новороссийск
206,официант,20000,,3,Palmira Palace,
207,помощник менеджера,25000,35000,3,ТВИЛ,Краснодар
208,администратор-кассир,21000,26000,3,АвтоМиг,Новороссийск
209,подсобный рабочий,25330,,3,ФГБУ «Юг Спорт»,Сочи
210,повар,30000,,3,Palmira Palace,
211,продавец магазина,20000,,3,Alean Family Resort Collection,Анапа
212,реализатор экскурсионных,,40000,3,Турбюро Визит-Крым,Севастополь
213,су-шеф,70000,90000,3,Боннет,Сочи
214,специалист,,30700,3,Radisson Blu Resort & Congress Centre,Сочи
215,официант,30000,40000,3,ВАСМА ЛТД,Ялта
216,повар-универсал,40000,40000,3,Лукор,Сочи
217,уборщица/уборщик,15000,,9,Biblos,Краснодар
218,администратор,22500,30000,3,Анапское взморье,Анапа
219,декоратор,30000,,9,"Патрик & Мари, сеть кулинарий",Краснодар
220,начальник службы,29000,45000,3,Санаторий Айвазовское,Алушта
221,администратор,15000,,3,"Кристалл, Велнес-Клуб",Краснодар
222,менеджер,50000,,3,Трэвл Центр,Сочи
223,менеджер,50000,,3,Трэвл Центр,Сочи
224,официант,22000,,3,"Тануки, японский ресторан",
225,менеджер,30000,,3,"Тануки, японский ресторан",
226,уборщик производственных,17000,21000,3,Продуниверсал,Симферополь
227,обвальщик мяса,23000,25000,3,Яблоко,
228,бариста,35000,,3,SURF COFFEE COMPANY,Красная Поляна
229,администратор,30000,35000,3,Роза Хутор,
230,администратор,25000,30000,3,Роза Хутор,
231,менеджер,35000,,3,Роза Хутор,Сочи
232,горничная,350,350,3,Гостиница Viva,
233,повар,1900,2100,3,Минами,Анапа
234,пекарь,25000,25000,3,Екатеринодарский торговый дом,Краснодар
235,рабочий,15500,19500,3,Alean Family Resort Collection,Анапа
236,повар для,28000,,3,Торговая сеть ТАБРИС,Краснодар
237,повар,28000,30000,3,Торговая сеть ТАБРИС,Краснодар
238,пекарь,28000,30000,3,Торговая сеть ТАБРИС,Краснодар
239,повар,28000,30000,3,Торговая сеть ТАБРИС,Краснодар
240,повар горячего,,37100,3,"МАГНИТ, Розничная сеть",Краснодар
241,пекарь-кондитер,,33000,3,Роза Хутор,
242,руководитель отдела,60000,,3,Flute service,Краснодар
243,менеджер,60000,60000,3,Русский лес,Краснодар
244,официант шведской,25000,,3,Роза Хутор,Сочи
245,специалист,60000,200000,3,Олимп,
246,менеджер,60000,300000,3,Олимп,
247,уборщица/уборщик,28000,,3,МегаСтафГрупп,Сочи
248,повар горячего,27000,,3,Т-кафе,Краснодар
249,специалист,60000,200000,3,Олимп,Сочи
250,официант,20000,,3,Вилла Аль Марин,
251,хостес,25000,,3,СпецСтройКубань,Краснодар
252,администратор,20000,,3,Вилла Аль Марин,
253,уборщица/уборщик,28000,,3,МегаСтафГрупп,Сочи
254,обвальщик мяса,22000,24000,3,Яблоко,
255,специалист,60000,200000,3,Олимп,
256,повар,28000,35000,3,Сочи-Парк,Адлер
257,горничная,15000,,3,"Кристалл, Велнес-Клуб",Краснодар
258,повар,28000,35000,3,Сочи-Парк,Сочи
259,официант-бармен,18000,,3,Онейро,
260,уборщица/уборщик,15000,15000,3,Р-МОТОРС,
261,повар-сушист,30000,35000,3,Сервис Групп Плюс,
262,администратор,30000,,3,Сервис Групп Плюс,
263,официант,25000,,3,Сервис Групп Плюс,
264,бармен,35000,,3,Сервис Групп Плюс,
265,повар,25000,35000,3,Сервис Групп Плюс,
266,су-шеф,40000,,3,Сервис Групп Плюс,
267,матрос-спасатель,20000,,3,СтройСервис,
268,учитель английско‎го,1600,2000,3,Job in China,
269,пиццайоло,35000,,3,Отель-Римар,Краснодар
270,бармен лобби-бара,25000,,3,Отель-Римар,Краснодар
271,официант,25000,,3,Отель-Римар,Краснодар
272,специалист,25000,40000,3,Парк отель Порто Маре,Алушта
273,администратор,24500,,3,Парк отель Порто Маре,Краснодар
274,администратор,24500,,3,Парк отель Порто Маре,Сочи
275,администратор,24500,,3,Парк отель Порто Маре,Алушта
276,администратор,24500,,3,Парк отель Порто Маре,Ялта
277,менеджер,25000,40000,3,Центр Онлайн Бронирования,Краснодар
278,менеджер,25000,60000,3,Парк отель Порто Маре,
279,менеджер,25000,60000,3,Парк отель Порто Маре,
280,менеджер,25000,60000,3,Парк отель Порто Маре,
281,повар,30000,35000,3,«Донатс & Кофе» (ИП Степанов Е.И.),Краснодар
282,администратор,25000,35000,3,Кредо,Армавир
283,повар горячего,25000,,3,Кредо,
284,шеф-повар,50000,,3,Кредо,
285,официант,18000,,3,Кредо,Армавир
286,официант,15000,30000,3,Экспресс Сервис Юг,Адлер
287,формовщик-упаковщик,20200,25900,3,"МАГНИТ, Розничная сеть",
288,пекарь,34000,,3,Первая Пекарня,
289,повар-универсал,32000,32000,10,КЕАТ,Динская станица
290,официант,25000,50000,3,Жарова А. В.,
291,продавец/бариста,30000,35000,3,МФЮЦ СОЧИ,Сочи
292,менеджер,15000,35000,3,Спарта Тур,Симферополь
293,повар-универсал,30000,50000,3,Кантеев Герман Григорьевич,
294,врач педиатр,30000,50000,3,"КРИНИЦА, ДСОК",Геленджик
295,повар,15000,,11,Шляхов Игорь Валерьевич,
296,администратор,25000,,3,Гостиница Сокол,
297,водитель-курьер,,35000,3,Доминос,
298,повар,,25000,3,Доминос,
299,повар,30000,,3,Гостиница Сокол,
300,менеджер,35000,,3,Сеть ресторанов РИС,
301,пекарь-кондитер,30000,40000,3,Степанян Арсен Степанович ,Алушта
302,спасатель,27000,,3,Сочи-Парк,Адлер
303,администратор,22000,24000,3,"HR-problem.net, Центр кадровых решений",
304,менеджер,25000,,3,Сафари-парк,Краснодар
305,повар-бригадир,30000,,4,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
306,официант,22500,,4,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Туапсе
307,администратор,30000,50000,4,Эволюция,Краснодар
308,горничная,32500,32500,4,Отель Звездный,Сочи
309,матрос-спасатель,27000,,4,Мостовик Девелопмент,Сочи
310,администратор,15000,25000,4,Кострюков Артём Александрович,Краснодар
311,менеджер,23000,,4,Рейна-Тур НТВ,Краснодар
312,повар универсал,30000,,4,"Атон, отель-ресторан",Краснодар
313,повар- мясник,34000,,4,Мостовик Девелопмент,Сочи
314,менеджер,80000,,4,Олимп,
315,кондитер,25000,26000,4,Alean Family Resort Collection,Анапа
316,кондитер,27000,27000,4,Газпром питание Филиал Краснодарское УООП,Краснодар
317,бармен,30000,,4,Сеть ресторанов РИС,
318,уборщик производственных,25000,,4,"ООО «Свод Интернешнл» (ГТЦ ПАО «Газпром», ГК «Альпика», ГК «Гранд Отель Поляна», ГК «Поляна 1389 Отель и СПА», ОКЦ «Галактика», ЛБК «Лаура»)",Сочи
319,мойщик посуды,25000,,4,"ООО «Свод Интернешнл» (ГТЦ ПАО «Газпром», ГК «Альпика», ГК «Гранд Отель Поляна», ГК «Поляна 1389 Отель и СПА», ОКЦ «Галактика», ЛБК «Лаура»)",Сочи
320,заместитель директора,30000,,4,Модная компания,
321,официант,60000,85000,4,JCat.ru,
322,администратор,35000,50000,4,Коннов Александр Владимирович,
323,су-шеф,35000,,4,Антей-Сервис,
324,врач-отолоринголог,30000,50000,12,"КРИНИЦА, ДСОК",Геленджик
325,спортивный аниматор,23000,38000,4,Парк отель Порто Маре,Алушта
326,официант,21000,25000,4,Маринс Парк Отель Сочи,Сочи
327,управляющий,100000,150000,4,"HR-problem.net, Центр кадровых решений",
328,повар горячего/холодного,40000,50000,4,"Легенда, ресторан средиземноморской кухни",
329,повар-универсал гипермаркета,17000,20300,4,"МАГНИТ, Розничная сеть",
330,горничная,35000,,4,МегаСтафГрупп,Сочи
331,официант,20000,30000,4,"Фанагория, АПФ",
332,формовщик,13900,19400,4,"МАГНИТ, Розничная сеть",Кореновск
333,повар-универсал гипермаркета,20900,21000,4,"МАГНИТ, Розничная сеть",
334,формовщик,15000,17900,4,"МАГНИТ, Розничная сеть",Ейск
335,пекарь-кондитер,20000,,4,«Донатс & Кофе» (ИП Степанов Е.И.),Краснодар
336,экскурсовод,15000,,4,Сафари-парк,Краснодар
337,официант,25000,,4,Твой бар,
338,повар-универсал ff11,35000,40000,4,Суп Групп,Краснодар
339,официант,30000,,4,Суп Групп,Краснодар
340,кондитер-универсал,30000,,4,Суп Групп,Краснодар
341,кавист/сомелье,30000,70000,4,Суп Групп,Краснодар
342,бармен-кассир,35000,50000,4,Суп Групп,Краснодар
343,бармен ff11,30000,,4,Суп Групп,Краснодар
344,барбэк,30000,,4,Суп Групп,Краснодар
345,бармен,,30000,4,РЕОЛ,Сочи
346,хостес,21000,21000,4,Мостовик Девелопмент,Сочи
347,официант,32000,38000,4,Шамбала,
348,"повар пицца,",,23000,4,Спектр (Сэндвич Хауз),Краснодар
349,менеджер,30000,36000,4,Роза Хутор,Сочи
350,администратор,27000,35000,4,Роза Хутор,Сочи
351,администратор,30000,,4,Роза Хутор,Сочи
352,бармен,16000,32000,4,Миндальная Роща,
353,администратор,30000,40000,4,Бутик-отель Монарх,Краснодар
354,специалист,45000,50000,4,«Чайхона №1» Братьев Васильчук,
355,руководитель экскурсионного,40000,60000,4,"Федеральный туроператор, открытие дополнительного направления - розничные продажи экскурсионных туров",
356,визовый менеджер,30000,,4,Единый Визовый Центр,Краснодар
357,администратор,,25000,4,Alean Family Resort Collection,Сочи
358,менеджер,30000,35000,4,Центр винного туризма Абрау Дюрсо,Новороссийск
359,пекарь,23000,25000,4,Хлебница,
360,пекарь,22000,25000,4,Хлебница,
361,пекарь,22000,25000,4,Хлебница,
362,ночной повар,25000,35000,4,Меньшов Игорь Олегович,Краснодар
363,стюард,19000,21000,13,«Родина кейтеринг»,Сочи
364,кондитер,20000,,13,Райт,Анапа
365,уборщик производственных,20000,,13,Райт,Анапа
366,технолог пекарни,32300,41900,4,"Лента, федеральная розничная сеть",Краснодар
367,официант-бармен,15000,,4,Hotel Constanta,
368,шеф-повар,80000,,4,Кронсайд,Красная Поляна
369,администратор,500,500,4,LEGALemplo.com,
370,помощник оператора,25000,,4,Сочи-Парк,
371,повар,30000,30000,4,Сочи-Парк,Сочи
372,кухонный рабочий,20000,,4,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
373,повар-сушист,28000,32000,4,Якитория,Краснодар
374,официант,,25000,4,Инал Бэй,Краснодар
375,горничная,27000,27000,4,Сочи-Парк,Сочи
376,официант,27000,,4,Сочи-Парк,
377,официант,35000,60000,4,Якитория,Краснодар
378,бармен,25000,31000,4,Сочи-Парк,Сочи
379,матрос спасатель,20000,20000,5,Гранд отель Жемчужина,Сочи
380,повар-универсал,30000,40000,5,Смак,
381,менеджер,20000,50000,5,"РУСЬ, Группа компаний",
382,официант,15000,25000,5,Монолит,
383,официант,15000,25000,5,Монолит,
384,официант,15000,25000,5,Монолит,
385,главный бухгалтер,,60000,5,Монолит,
386,уборщик помещений,15500,,5,Alean Family Resort Collection,Анапа
387,продавец-консультант,30000,,5,Билайн,
388,менеджер,27000,,5,БУРГЕР КИНГ РОССИЯ,Анапа
389,администратор,26500,,5,Аэропорт Девелопмент,Геленджик
390,администратор,30000,,5,"Платан Южный, Отель",Краснодар
391,администратор-кассир,30000,,5,Куцый Василий Андреевич,
392,управляющий,70000,100000,5,РЕОЛ,
393,стюардесса/стюард вип-яхты,120000,150000,5,Школа стюардесс «Marina-School»,Краснодар
394,специалист guest,24200,,5,Alean Family Resort Collection,Геленджик
395,менеджер,25000,60000,5,Бердашева Анастасия,Сочи
396,специалист guest,24200,,5,Alean Family Resort Collection,Краснодар
397,бармен,22500,,5,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Новороссийск
398,кальянщик,15000,,5,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",
399,менеджер,18000,25000,5,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
400,кондитер,26000,26000,5,НАДИ,Краснодар
401,повар горячего,25000,40000,5,Плезир,Краснодар
402,консьерж,25000,,5,Mriya Resort & SPA,Симферополь
403,матрос-спасатель береговой,27000,28000,5,ФГАУ ОК Дагомыс УДП РФ,Сочи
404,шеф-повар,80000,,5,Grand cafe Alen Rosso,Сочи
405,менеджер,20000,50000,5,Руссо Туристо,Краснодар
406,посудомойщица/посудомойщик,30000,35000,5,Карамба,
407,администратор,20000,40000,5,Новиков Вадим Олегович,
408,повар,40000,50000,5,Карат,
409,тренер,15000,25000,5,Orange fitness,Краснодар
410,бариста,18000,30000,5,Вкусология (Памукчи Екатерина Николаевна),Сочи
411,управляющий,40000,,5,Сафари-парк,Краснодар
412,мойщик посуды,19000,,5,ОКЕЙ – Федеральная розничная сеть,Краснодар
413,бармен,30000,50000,5,Fanconi Beach,Ялта
414,гopничная,35000,,5,МегаСтафГрупп,Сочи
415,горничная,35000,,5,МегаСтафГрупп,Эстосадок
416,пекарь-кондитер,24800,29500,5,ОКЕЙ – Федеральная розничная сеть,Краснодар
417,менеджер,30000,70000,5,ЮгОпт,
418,менеджер,30000,70000,5,ЮгОпт,
419,агент,,25000,5,Юниверсити Плаза,Сочи
420,официант,25000,,5,Юниверсити Плаза,Сочи
421,бармен,25000,,5,Юниверсити Плаза,Сочи
422,специалист,30000,35000,5,Staff and Service,
423,менеджер,30000,60000,5,ДРУГИЕ МЕСТА,Краснодар
424,хостес,13000,13000,5,Сеть ресторанов РИС,
425,директор ресторана,60000,,5,Сеть ресторанов РИС,
426,менеджер,25000,70000,5,Отпуск Проджект,Краснодар
427,менеджер,35000,,5,Отель «Чеботаревъ»,Сочи
428,повар-мясник,30000,40000,5,ЮгОпт,Краснодар
429,повар горячего,30000,,5,Сеть ресторанов РИС,
430,повар-сушист,27000,,5,Сеть ресторанов РИС,
431,носильщик багажа,20000,,5,Alean Family Resort Collection,Сочи
432,официант кафе,19140,,5,Мусороуборочная компания,Краснодар
433,администратор,27500,,5,Мусороуборочная компания,Краснодар
434,уборщица-посудомойщица/уборщик-посудомойщик,,20000,5,Вкуснолюбов,Краснодар
435,шеф-повар,35200,45400,5,ОКЕЙ – Федеральная розничная сеть,Краснодар
436,повар,24800,,5,ОКЕЙ – Федеральная розничная сеть,Краснодар
437,помощник повара,,26400,5,"МАГНИТ, Розничная сеть",Краснодар
438,менеджер,20000,40000,5,Соллинс-Тур,Новороссийск
439,администратор,35000,40000,5,Холдинг Роял Тайм Групп,Ейск
440,официант,25000,40000,5,Холдинг Роял Тайм Групп,Ейск
441,администратор,24000,30000,5,Холдинг Роял Тайм Групп,Ейск
442,администратор,28000,35000,5,Холдинг Роял Тайм Групп,
443,администратор,28000,35000,5,Холдинг Роял Тайм Групп,
444,администратор,35000,40000,5,Холдинг Роял Тайм Групп,
445,администратор,28000,35000,5,Холдинг Роял Тайм Групп,
446,администратор,28000,35000,5,Холдинг Роял Тайм Групп,
447,бухгалтер материалист,20000,25000,5,Холдинг Роял Тайм Групп,Ейск
448,управляющий,30000,,5,ГП Красноармейская,Сочи
449,автор работ,30000,90000,5,Homework,
450,автор работ,30000,90000,5,Homework,
451,повар,26500,,5,УГК Космос Групп,Сочи
452,receptionist,25000,,5,УГК Космос Групп,Сочи
453,бармен,22000,,5,Costa Rusa,
454,повар-пекарь,25000,,5,Costa Rusa,
455,менеджер,50000,150000,5,Олимп,Сочи
456,повар-пекарь,30000,,5,Costa Rusa,
457,повар-пекарь,25000,,5,Costa Rusa,
458,повар-сушист,22500,,5,Costa Rusa,
459,администратор,24000,,5,Costa Rusa,
460,администратор,22500,,5,Costa Rusa,
461,тандырщик-мангальщик,24750,,5,Costa Rusa,
462,тандырщик-мангальщик,22500,,5,Costa Rusa,
463,кухонный рабочий,16500,,5,Costa Rusa,
464,аниматор,15000,,5,Costa Rusa,
465,помощник администратора,15000,,5,Costa Rusa,
466,официант,20000,,5,Costa Rusa,
467,администратор,20000,25000,5,Costa Rusa,
468,кавист,35000,50000,5,Торговая сеть ТАБРИС,
469,бармен,40000,75000,5,Эллада,
470,администратор,35000,,5,Деокон,
471,администратор,35000,,5,Деокон,
472,администратор,35000,,5,Деокон,
473,менеджер,25000,,5,Маринс Парк Отель Сочи,Сочи
474,шеф-повар/су-шеф,48000,,5,СКО Адлеркурорт,Сочи
475,шеф-кондитер,35000,42000,5,СКО Адлеркурорт,Сочи
476,менеджер,20000,25000,5,Маринс Парк Отель Сочи,Сочи
477,ассистент,23000,40000,5,Global Trade Service Company,Приморский (Республика Крым)
478,повар,30000,,5,Каракаш. Н.Д.,
479,пекарь-лепщик,30000,40000,5,Matreshka,Краснодар
480,официант,30000,,5,"HR-problem.net, Центр кадровых решений",
481,пекарь-кондитер,27000,40000,5,КофеБулка,
482,менеджер,25000,,5,Випсервис,
483,официант,40000,,5,Чайхана Павлин Мавлин,
484,администратор,50000,60000,6,Апельсин,
485,менеджер,37500,,6,Мадьяр,Краснодар
486,водитель-курьер,36000,45000,6,Мадьяр,Краснодар
487,повар холодного,30000,60000,6,Ресторан «Высота»,Адлер
488,повар,30000,60000,6,Ресторан «Высота»,Адлер
489,официант,25000,45000,6,ресторан Станъ,Краснодар
490,су-шеф,45000,50000,6,РЕОЛ,Сочи
491,сторож,22600,,6,Alean Family Resort Collection,Анапа
492,оператор службы,26000,26000,6,РЕОЛ,Сочи
493,воспитатель,22000,22000,6,РЕОЛ,Адлер
494,повар-универсал,50000,80000,6,IRISH PUB,
495,повар,35000,50000,6,Бэкстэйдж,Сочи
496,официант,18000,23000,6,Orange fitness,Краснодар
497,специалист сервисного,25000,,6,Alean Family Resort Collection,Анапа
498,администратор,30000,,6,Alean Family Resort Collection,
499,носильщик багажа,13000,,6,Alean Family Resort Collection,
500,повар-универсал,25000,28000,6,Alean Family Resort Collection,
501,пекарь-кондитер,22000,22000,6,Alean Family Resort Collection,Анапа
502,шеф-повар,90000,,6,Бэкстэйдж,Сочи
503,бармен,24000,,6,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
504,кассир,,25000,6,Вкуснолюбов,Адлер
505,администратор,,26000,6,Развитие,Краснодар
506,специалист guest,22000,24200,6,Alean Family Resort Collection,Новороссийск
507,хостес,23000,,6,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
508,кондитер старший,28000,32000,6,Харченко А.Л.,Краснодар
509,уборщица/техническая служащая,13500,,6,Biblos,Краснодар
510,администратор,29260,,6,ФГБУ «Юг Спорт»,Сочи
511,официант,25000,,6,Biblos,Краснодар
512,менеджер,25000,60000,6,ТВК групп,
513,супервайзер,25000,,6,Мостовик Девелопмент,Сочи
514,оператор управления,45000,,6,Домейн,Краснодар
515,официант,23000,25000,6,Аэропорт Девелопмент,Сочи
516,администратор,20000,,6,Отель Majestic,Ялта
517,заместитель директора,34000,,6,БУРГЕР КИНГ РОССИЯ,Новороссийск
518,заместитель директора,34000,,6,БУРГЕР КИНГ РОССИЯ,Анапа
519,повар,17000,18000,18,Детский санаторий для больных туберкулезом Горный воздух,
520,повар,40000,,6,Отель Majestic,
521,повар,40000,,6,Отель Majestic,
522,бармен-бариста,25000,,6,Сомелье,
523,хостес,15000,,6,Смак,Симферополь
524,администратор,25000,,6,Смак,Симферополь
525,повар,20000,24000,6,"Тануки, японский ресторан",
526,повар кулинарии,29700,33700,6,"МАГНИТ, Розничная сеть",
527,повар,30000,45000,6,Сеть кофеен Шоколадница,
528,официант,25000,,6,Сеть кофеен Шоколадница,Адлер
529,бармен-кассир/бариста,15000,,6,Сеть кофеен Шоколадница,Краснодар
530,повар,20000,25000,6,Сеть кофеен Шоколадница,Краснодар
531,горничная,,24000,6,Роза Хутор,
532,повар горячего,25000,30000,6,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
533,начальник культурно-массового,27400,,6,Санаторий Южное Взморье,Сочи
